subscale,cv_r
IRI_Perspective_taking,-0.1256290506235034
IRI_Fantasy,-0.0923230109737744
IRI_Empathic_concern,-0.1372888856985811
IRI_Personal_distress,-0.1051502360284519
PANAS_Positive_Affect,-0.0939180497532937
PANAS_Negative_Affect,-0.1688798549356511
POM_Peace_of_Mind,-0.1193805733263292
BigFive_Extraversion,0.0091252360385341
BigFive_Agreeableness,-0.0659848579045711
BigFive_Conscientiousness,-0.1295404911002467
BigFive_Neuroticism,-0.1962419370868963
BigFive_Openness,0.0544514618383406
SelfConst_Independent_self,-0.135952921349482
SelfConst_Interdependent_self,-0.0256210883361802
LifeSat_Life_Satisfaction,-0.0498308766297581
Lonely_Loneliness,0.033875892357122
