subscale,cv_r
IRI_Perspective_taking,-0.0157827843999238
IRI_Fantasy,0.2331316290175556
IRI_Empathic_concern,0.3926947143625318
IRI_Personal_distress,0.0610626504228172
PANAS_Positive_Affect,-0.1483042419103294
PANAS_Negative_Affect,-0.1072130623381699
POM_Peace_of_Mind,-0.147264593213648
BigFive_Extraversion,-0.009721470010513
BigFive_Agreeableness,0.0355772328840154
BigFive_Conscientiousness,-0.1550647547204031
BigFive_Neuroticism,-0.1242009653989354
BigFive_Openness,-0.1493303895433074
SelfConst_Independent_self,0.0825926284852463
SelfConst_Interdependent_self,0.2136806432558946
LifeSat_Life_Satisfaction,-0.1120466249989685
Lonely_Loneliness,-0.1266116497713115
