subscale,cv_r
IRI_Perspective_taking,-0.127862320261484
IRI_Fantasy,-0.1490661225921396
IRI_Empathic_concern,-0.194142002018741
IRI_Personal_distress,-0.1126575923617314
PANAS_Positive_Affect,-0.127262405840537
PANAS_Negative_Affect,-0.1720955528489637
POM_Peace_of_Mind,-0.0445111202132465
BigFive_Extraversion,0.0283969342166935
BigFive_Agreeableness,0.1155806082139844
BigFive_Conscientiousness,-0.1127199512812137
BigFive_Neuroticism,-0.2061149891786121
BigFive_Openness,-0.1056451639879103
SelfConst_Independent_self,-0.0868875045909988
SelfConst_Interdependent_self,0.0002973996626002
LifeSat_Life_Satisfaction,-0.150943920751475
Lonely_Loneliness,-0.08970141648032
